Paolo Braca
Krzysztof Kulpa
Robert Bishop
Nathan Goodman
Neil Gordon
Josep Miquel Jornet
Zaher Kassas
Vito Pascazio
Luke Rosenberg
Mohammad Sharawi
James Garrison
Karen Haigh
Gonzalo Seco-Granados
Youmin Zhang
Maruthi Akella
Chee-Yee Chong
Andrea Conti
R Scott Erwin
Tommaso Isernia
Webert Montlouis
Daniel Tazartes
Carl Zetterling
Stefano Coraluppi
Robert Shin
Jeffrey L Krolik
Marco Martorella
PANAGIOTIS PAPADIMITRATOS
Christ Richmond
Mengdao Xing
Guangtao Zhai
James Breakall
Chao-Kai Wen
Dejan Markovic
Bo Ai
Sung Ik Park
Liang Zhang
Giulio Antonini
Julio Costa
Kamran Entesari
Brian Ginsburg
Chih-Ming Hung
Junichi Itoh
Ho-Ching Iu
Jiaying Liu
Yiorgos Makris
Patrick Mercier
Yoshifumi Nishio
Umit Ogras
WEN-HSIAO PENG
Aarno Parssinen
Nils Pohl
Dai Qionghai
Zhiguo SHI
Patrick Schaumont
Peilin Song
Csaba Szepesvari
Sheldon Tan
Kea-Tiong Tang
Adrian Tang
Dong Tian
Hongkai Xiong
Wenjian Yu
Guangtao Zhai
Yongdong Zhang
Claudio Adragna
Joseph Bardin
Shuo-Wei Chen
Ke-Horng Chen
Wen-Huang Cheng
SeongHwan Cho
Matthew Ettus
Sergiu Goma
Warren Gross
Deukhyoun Heo
Liang Lin
Huchuan Lu
Jiwen Lu
Kaixue Ma
Siwei Ma
Xiaoning Qi
Osama Shana'A
Dusan Stipanovic
Yang Tang
Jing Xiao
Shimeng Yu
Walid Ali-Ahmad
Yuan-Hao Chang
ROBERTO GOMEZ-GARCIA
Donhee Ham
Bernard Lesieutre
Jia Li
Linda Milor
Kenichi Okada
Sherief Reda
Woogeun Rhee
PAVLOS SOTIRIADIS
Dmitri Strukov
Hua Wang
Yao Zhao
Baoxing Chen
Thomas Byunghak Cho
Alessandra Costanzo
Daniel Friedman
Apostolos Georgiadis
Steve Hranilovic
Slawomir Koziel
Shan Liu
Shih-Chii Liu
Hiroyuki Mizuno
Masato Motomura
Debargha Mukherjee
GuoJun Qi
Narayan Srinivasa
Mikko Valkama
Yu Wang
Jingdong Wang
Carl Zetterling
Xiuyin Zhang
Anding Zhu
Ahmed Ali
Wim Bogaerts
Benton Calhoun
Yogesh Chauhan
Francis Lau
Houqiang Li
Gourab Majumdar
Jun Ohta
Guangming Shi
Saurabh Sinha
Honggang Wang
Xiaoping Zhang
Ramon Carvajal
KaWai Cheng
Sen-Ching Cheung
Maciej Ciesielski
Touradj Ebrahimi
Pavan Kumar Hanumolu
Kartikeyan Machavaram
Yiannos Manoli
Partha Pande
Jae-Sung Rieh
Manfred Schindler
Yonggang Wen
Huazhong Yang
Yonghong Zeng
Lei Zhang
Tong Zhang
Chadi Assi
Amir Avestimehr
Lin Cai
Ranveer Chandra
Yingying Chen
Chong-Yung Chi
Wan Choi
Carlos Cordeiro
Marco DiRenzo
Zhiguo Ding
Ivan Djordjevic
Octavia Dobre
Ashutosh Dutta
Touradj Ebrahimi
Feifei Gao
Song Guo
Pavan Kumar Hanumolu
Rose Hu
Victor Huang
Weijia Jia
Masahiko Jinno
Eduard Jorswieck
Markku Juntti
Thomas Kuerner
Mo Li
Gong-Ru Lin
Amir-Hamed Mohsenian-Rad
Guido Montorsi
Yasamin Mostofi
PANAGIOTIS PAPADIMITRATOS
Ana Perez-Neira
Dennis Prather
Jae-Sung Rieh
Joel Rodrigues
Manfred Schindler
Dimitra Simeonidou
Joshua Smith
Shahrokh Valaee
Haining Wang
Yonggang Wen
Richard Wesel
Joerg Widmer
Hongyi Wu
Pengfei Xia
Yang Xiang
Yang Xiao
Jiang Xie
Laurence Tianruo Yang
Yonghong Zeng
Angela Yingjun Zhang
Yan Zhang
Ahmed Ali
Danijela Cabric
chan-Byoung chae
Min Chen
I Chih-Lin
Filip De Turck
Jaafar M.H. Elmirghani
Rudy Emrick
Haris Sacanin
Matthias Grossglauser
Kaibin Huang
Inyup Kang
Laurent Larger
Francis Lau
Wonjun Lee
Hougiang Li
Rongxing Lu
Milos Manic
Athina Markopoulou
David Matolak
wing kwan Ng
Ai-Chun Pang
Eve Schooler
Gesualdo Scutari
Erik Strom
Edward Tiedemann
Wolfgang Utschick
Jaideep Vaidya
Honggang Wang
Cong Wang
Zhaocheng Wang
chongiin Xie
Chau Yuen
Gan Zheng
Bo Ai
Arturo Azcorra
Sujata Banerjee
Suman Banerjee
Emil Bjornson
Minghua Chen
Jinjun chen
Holger Claussen
Bruno Clerckx
Andrea Conti
Mauro Conti
Linglong Dai
Riccardo De Gaudenzi
Donald Dunn
Tarek El-Bawab
Giancarlo Fortino
Xiaoming Fu
Ibrahim Gedeon
Nada Golmie
Albert Guillen I Fabregas
Deniz Gunduz
Steve Hranilovic
Yusheng Ji
Admela Jukan
Robert Killey
Hariharan Krishnan
Keqiu Li
Sudip Misra
Apurva Mody
Webert Montlouis
Yoshihiro Ohba
Kumar Sivarajan
Elif Uysal
Mikko Valkama
Daniel Van Der Weide
Peter Vetter
Richard eVoyles
Guiling Wang
Lei Ying
Mohamed Younis
Jiguo Yu
Jun Zhang
Zhangdui Zhong
Anding Zhu
Gil Zussman
Kema Akkaya
Joao Barros
Maite Brandt-Pearce
Tsung-Hui Chang
Symeon Chatzinotas
Guihai Chen
julian Cheng
Jong-Moon Chung
Natasha Devroye
Harpreet Dhillon
Roberto Di pietro
Guangjie Han
Wonbin Hong
Hai Jiang
Marios Kountouris
Christina Lim
Andrew Lord
Karon Maclean
Takashi Matsuoka
Michail Matthaiou
Gerald Matz
RalfReiner Mueller
chandra Murthy
Hideki Ochiai
Kenichi Okada
Boon Ooi
Ye Ouyang
James Preisig
yihong Qi
Miquel Raul Rodriques
Laurent Schmalen
Jack Schuss
Gonzalo Seco-Granados
Ping Shum
Anthony So
Houbing Song
changho Suh
Smail Tedjini
Olav Tirkkonen
Massimo Tomnatore
Xin Wang
jianping Wang
Qian Wang
Stefan Werner
Mark Wilde
Tilman Wolf
Kun Yang
shui Yu
Shucheng Yu
Haijun Zhang
Yao Zhao
Gang Zhou
Xiangyun Zhou
Yongxing Zhou
Zuging Zhu
Haojin Zhu
Aggelos Bletsas
James Breakall
Ke-Horng Chen
Yu cheng
Subhrakanti Dey
Min Dong
Gregory Durgin
Azim Eskandarian
Matthew Ettus
Herbert Falk
Yue Gao
Ana Garcia-Armada
Reza Ghanadan
Warren Gross
Guan Gui
Deukhyoun Heo
ChoongSeon Hong
Chunxiao Jiang
Shi Jin
Josep Miguel Jornet
Zaher Kassas
joerg Kliewer
Raymond Knopp
Sastry Kompella
Gitta Kutyniok
Matti Latva-Aho
Long Le
jie Li
Di Liang
Hang Liu
Jun Luo
MaX Muhlhauser
Wei Ni
Sudeep Pasricha
Mathini Sellathurai
Jian Wang
Chao-Kai Wen
Henk Wymeersch
Jing Xiao
Zheng Yan
Yifei Yuan
Honggang Zhang
Lian Zhao
Tareg Al-Naffouri
WaheedUz Zaman Bajwa
Raheem Beyah
Xiaofeng Chen
Kyungwhoon Cheun
Xiaowen Chu
Vittorio Curri
Davide Dardari
Melike ErolKantarci
Serge Fdida
Carlo Fischione
Frank Fitzek
Gabor Fodor
Nelson Fonseca
Sinan Gezici
Nuria Gonzalez Prelcic
Saikat Guha
Kenichi Higuchi
Jiankun Hu
Yongming Huang
C Huntley
Zhensheng Jia
Wolfgang Kellerer
Younsun Kim
Zan Li
Hyesook Lim
Lingjia Liu
Mahesh Marina
James Misener
Timothy Oshea
Dai Qionghai
Philip Rubin
Zhiguo SHI
Abdallah Shami
Min Sheng
Yi Shi
Byonghyo Shim
Biplab Sikdar
James Sluss
Alexander Sprintson
XIAOHU TANG
Rahim Tafazolli
Nalini Venkatasubramanian
Jiafu Wan
Hung-Yu Wei
Chuan Wu
Jingxian Wu
Liang Xiao
Chunsheng Xin
Hongkai Xiong
Wei Xu
Jie Xu
Hao Xu
Mika Ylianttila
YONG ZENG
Alessio Zappone
Shuai Zhang
Liang Zhou
Hussein Abbass
Krzysztof Cios
Zhongsheng Hou
Yo-Ping Huang
Bin Jiang
Tianzi Jiang
F Karray
YUN LI
Xiaodong Li
Ujjwal Maulik
PANAGIOTIS PAPADIMITRATOS
Laurence Tianruo Yang
Dongbin Zhao
Achintya Bhowmik
YOLANDA GIL
Jonathan Garibaldi
Enrigue Herrera-viedma
Xiaofeng Liao
Jose Lozano
Vincent Tseng
Ganesh Venayagamoorthy
Yingxu Wang
Chau Yuen
Wil Van der Aalst
Grigoris Antoniou
Humberto Bustince
Joao Paulo Catala0
Nitesh Chawla
Jinjun chen
Daniel Hissel
Sun-Yuan Hsieh
Zhijun Li
Sudip Misra
Satish Ranade
Bernhard Sendhoff
Narayan Srinivasa
Ivor Tsang
Dongmei Wang
Chunhua YANG
Carlos Busso
Tsung-Hui Chang
James Garrison
Lei Guo
Zhigang Liu
Wei Liu
Ye Ouyang
Houbing Song
Ke Tang
Lixin Tang
Jianping Wang
Hong Wang
Dongrui Wu
Shen Yin
Shui Yu
Youmin Zhang
Sameer Antani
Wen-Huang Cheng
Long Cheng
XINBO GAO
Reza Ghanadan
Maoguo Gong
Takashi Hiyama
BijayaKetan Panigrahi
JIANBIN QIU
DANAIL STOYANOY
Volker Sorger
Yang Tang
Georgia Tourassi
Bing Xue
Georgios N Yannakakis
Hengyong Yu
Zhi-Hui Zhan
Honggang Zhang
Enrico Zio
Zhen Wang
Sungbae Cho
Carlo Fischione
Wei He
jiye Liang
Yunxin Liu
Xin Luo
Stuart Oberman
Timothy Oshea
Sinno Pan
Radu-Emil Precup
Kai Qin
Asgeir Sorensen
Julian Togelius
Fangxiang Wu
Jeffrey Calame
Tsung-Yung Chang
Yi-Jan Emery Chen
Ehab El-Saadany
Jung-Ik Ha
Iustin Radu Bojoi
Silverio Bolognani
David Dorrell
Christian Enz
Mary Ellen Randall
Sukumar Brahma
Ramon Carvajal
Andrea Cavagnino
Akira Inoue
Benton Calhoun
Yaow-Ming Chen
Wenzhong Gao
Hua Geng
Oriol Gomis Bellmunt
Dragan Jovcic
Stefanos Kaxiras
Zhengyu Lu
Gourab Majumdar
J Marcos Alonso
Subhashish Bhattacharya
James Buckwalter
Joao Paulo Catalao
Baoxing Chen
Tobias Geyer
Heath Hofmann
Jin Hur
Tseng King Jet
Vinod Khadkikar
Bilal Akin
Hassan Bevrani
Zhiwei Gao
Fei Gao
Hoay Gooi
Marko Hinkkanen
Atsushi Hori
Muhammad Khellah
Bernard Lesieutre
Zhigang Liu
Claudio Adragna
Ke-Horng Chen
Paolo Colantonio
Mohamed El Moursi
XIAOSONG HU
Deukhyoun Heo
Atif Iqbal
Miguel Laso
Dong-Choon Lee
Byoung Kuk Lee
Chunxia Dou
Tomislav Dragicevic
Drazen Dujic
Christian Fager
Mehdi Ferdowsi
Junichi Itoh
Ho-Ching Iu
Masoud Karimi Ghartemani
Samir Kouro
Oscar Lucia
Pericle Zanchetta
Richard Zhang
YunWei Ryan Li
Kartikeyan Machavaram
Amir-Hamed Mohsenian-Rad
Joshua Smith
Huazhong Yang
Milos Manic
Dejan Markovic
Yasser Mohamed
Sanjib Panda
Leila Parsa
Akshay Rathore
Eve Schooler
Kalyan Sen
Mahesh Swamy
Shinzo Tamai
Mi-Ching Tsai
Mohammad Uddin
Sergio Vazquez
Ganesh Venayagamoorthy
Jin Wang
Honggang Wang
Xiaorui Wang
Patrick Wheeler
Dong Yue
Sarah Kurtz
Tian-Hua Liu
Saad Mekhilef
Babak Nahid-Mobarakeh
Adel Nasiri
Gianmario Pellegrino
Satish Ranade
Maryam Saeedifard
Brij Singh
Anurag Srivastava
Jun Wang
Matthew Wilkowski
Andrew Wolfe
Lei Wu
Zhiping Yang
Carl Zetterling
Anding Zhu
Chengxiong Mao
Marta Molinas
Kashem Muttaqi
MUNAF RAHIMO
Sei-Hyung Ryu
Jean-Luc Schanen
Tomonobu Senjyu
Yilmaz Sozer
Pierre Verlinden
Hua Wang
Xiongfei Wang
Chenghui Zhang
Gang Zhou
Yong Kang
Jun Liang
Toshiyuki Murakami
Bijaya Ketan Panigrahi
Li Qi
Li Ran
Michael Ropp
Kai Sun
Siew Chong Tan
Giri Venkataramanan
DI ZHANG
Bo Zhang
Jim Zheng
Patrick Mercier
Sukumar Mishra
Nirmal K Nair
Shinohara Naoki
Xu She
Steve Wilton
Jie Xu
Amirnaser Yazdani
Regan Zane
Jinfa Zhang
Karen Butler-Purry
